sr,nsecode,name,bsecode,per_chg,close,volume
60,HSCL,Himadri Speciality Chemical Limited,500184,9.77,168.55,6715434
14,AUTOAXLES,Automotive Axles Limited,505010,6.91,1540.55,47660
58,HOTELEELA,Hotel Leela Venture Limited,500193,4.65,22.5,2026560
10,ASHOKLEY,Ashok Leyland Limited,500477,3.96,123.35,27656711
17,BHEL,Bharat Heavy Electricals Limited,500103,3.21,98.2,23565569
26,CROMPTON,Crompton Greaves Consumer Electricals Limited,539876,2.66,277.8,339765
125,SYNGENE,Syngene International Limited,539268,2.25,560.2,269388
80,MAGMA,Magma Fincorp Limited,524000,1.93,163.55,151949
51,HCLTECH,Hcl Technologies Limited,532281,1.60,892.8,953259
85,MARICO,Marico Limited,531642,1.56,325.7,880910
42,GODREJAGRO,Godrej Agrovet Ltd,540743,1.48,600,368426
45,GPPL,Gujarat Pipavav Port Limited,533248,1.46,138.55,363615
127,TATAELXSI,Tata Elxsi Limited,500408,1.43,977.85,665737
19,CAPACITE,Capacite Infraprojects Ltd,540710,1.30,396.85,420755
68,INDUSINDBK,Indusind Bank Limited,532187,1.24,1643.95,1392045
12,ASTRAZEN,Astrazeneca Pharma India Limited,506820,1.15,1187.75,5432
110,RKFORGE,Ramkrishna Forgings Limited,532527,1.11,866.15,30099
76,KIRLOSENG,Kirloskar Oil Engines Limited,533293,1.08,382.75,23046
71,KALPATPOWR,Kalpataru Power Transmission Limited,522287,1.04,475.7,125812
94,NFL,National Fertilizers Limited,523630,1.02,74.1,3449729
128,TATASPONGE,Tata Sponge Iron Limited,513010,1.01,997.75,326998
129,TATASTEEL,Tata Steel Limited,500470,0.98,729.3,2467294
18,BSE,BSE (Bombay stock exchange),20,0.97,940,352903
81,MAHLOG,Mahindra Logistics Ltd,540768,0.88,448.55,106511
95,NIACL,New India Assurance Company Ltd,540769,0.71,614.95,45595
126,TATACHEM,Tata Chemicals Limited,500770,0.56,730.1,628104
97,OIL,Oil India Limited,533106,0.35,374.25,548386
131,TORNTPHARM,Torrent Pharmaceuticals Limited,500420,0.33,1395.1,75533
109,RBLBANK,Rbl Bank Limited,540065,0.32,511.65,616196
53,HINDALCO,Hindalco Industries Limited,500440,0.28,271.9,4546324
105,POWERGRID,Power Grid Corporation Of India Limited,532898,0.27,200.75,2465835
102,PFIZER,Pfizer Limited,500680,0.14,2049.5,12333
38,GLAXO,Glaxosmithkline Pharmaceuticals Limited,500660,0.12,2466,13299
134,UJJIVAN,Ujjivan Financial Services Limited,539874,0.12,386,650734
15,BAJAJELEC,Bajaj Electricals Limited,500031,0.11,489.8,159034
2,ABB,Abb India Limited,500002,0.04,1400.2,62917
122,SUNTECK,Sunteck Realty Limited,512179,0.02,418.65,75855
54,HINDPETRO,Hindustan Petroleum Corporation Limited,500104,-1.78,406.4,3614108
79,M&MFIN,Mahindra & Mahindra Financial Services Limited,532720,-1.68,462.8,1436614
61,HUDCO,Housing and Urban Development Corporation,540530,-0.97,82,2494107
7,APLLTD,Alembic Pharmaceuticals Limited,533573,-0.89,526.45,9263
1,AARTIIND,Aarti Industries Limited,524208,-0.71,1132.9,79681
93,NCC,Ncc Limited,500294,-0.69,130.45,6305351
37,GESHIP,The Great Eastern Shipping Company Limited,500620,-0.64,401.05,32076
111,SADBHAV,Sadbhav Engineering Limited,532710,-0.61,426.9,174609
5,AMARAJABAT,Amara Raja Batteries Limited,500008,-0.57,829.7,332199
73,KEC,Kec International Limited,532714,-0.46,381.4,366514
56,HINDUNILVR,Hindustan Unilever Limited,500696,-0.44,1338.6,695988
25,CHENNPETRO,Chennai Petroleum Corporation Limited,500110,-0.43,430.05,366350
47,GRASIM,Grasim Industries Limited,500300,-0.38,1139.55,333459
77,LALPATHLAB,Dr. Lal Path Labs Ltd.,539524,-0.26,882.35,18836
100,PARAGMILK,Parag Milk Foods Limited,539889,-0.15,297.45,440575
65,INDIGO,Interglobe Aviation Limited,539448,-0.13,1201.4,564507
11,ASIANPAINT,Asian Paints Limited,500820,-0.08,1142.75,516171
88,MINDAIND,Minda Industries Limited,532539,-0.08,1276.25,93085
