symbol,yesterdays close,todays close,yesterdays volatility,todays volatility,avg traded volume,todays volume,avg % deliverable volume,todays % deliverable volume,avg intraday volume per trade,todays intraday volume per trade,margin
ICIL,110.35,112.15,3.6999999999999997,3.61,2226774.8,866848,23.1215,22.4,130.1348596050141,114.40034829931973,13
JINDALSTEL,162.65,164.6,3.4000000000000004,3.3099999999999996,8788250.8,13091610,25.080499999999997,22.67,165.52397990079794,183.51748414755735,8
GRANULES,136.15,140.7,2.79,2.82,3266683.95,5203561,31.002500000000005,35.48,115.5432087250253,110.83614133571028,10
ANDHRABANK,55.7,55,2.71,2.65,5692892.6,3111544,14.828500000000005,15.1,341.8203751010926,397.90644012652507,14
JSWENERGY,79.75,78.8,2.7,2.63,13326583.75,8080830,33.485,34.34,331.1959162279579,380.7587354144241,13
KTKBANK,163.45,160.2,2.5,2.4699999999999998,3633370.45,7013438,24.745500000000007,15.86,128.84637839967814,156.79420589860771,14
INDIACEM,180.05,178.85,2.5,2.4299999999999997,3945304.25,2920184,25.889499999999998,26.32,112.7430812463248,108.8972351047677,11
DLF,172.95,172.95,2.4899999999999998,2.41,7895505.9,4225773,16.6995,9.45,164.3221959332792,169.93549102900033,7
BIOCON,370.65,375,2.33,2.2800000000000002,1935308.3,1255821,25.483999999999998,25.43,56.0380629475938,66.37834701587752,9
HINDALCO,266.6,271.4,2.25,2.22,9740178.15,14632858,36.628,45.63,91.55077781940936,106.30524979422768,11
KPIT,128.25,128.65,2.27,2.1999999999999997,1092201.5,442000,29.170000000000005,27.86,92.12121443371397,66.51205673758865,8
SAIL,57.95,58.3,2.2399999999999998,2.18,4961560.15,4832902,27.534000000000002,14.85,306.3367821400029,398.33666179459874,11
TORNTPOWER,233.1,234.75,2.2399999999999998,2.18,1111227.45,1869197,32.7195,37.29,70.96719359252492,81.88999851194635,8
NCC,90.5,89.2,2.21,2.17,3366366.238095238,2438588,37.79,32.37,150.46202460262066,165.63393234910114,11
PTC,121.45,119.6,2.17,2.1399999999999997,2551521.9,1442313,32.102500000000006,38.96,123.99534643742865,131.1467086548488,11
L&TFH,204.6,203.75,2.17,2.11,6265860.9,2634564,29.092000000000002,25.03,113.81151402913045,126.9773468852459,11
FEDERALBNK,117.2,124.8,1.46,2.09,10803262.9,54772217,49.311,28.79,137.1871690801731,238.8649101925456,14
SYNDIBANK,66.2,65.2,2.09,2.06,1823127.65,1762164,18.247499999999995,12.21,242.60837673721608,333.0470991603875,14
JISLJALEQS,92.9,93.3,2.1,2.04,4416351.1,6541681,34.3585,39.37,143.6618228958499,98.44426990741889,11
HEXAWARE,275.7,276.9,2.08,2.02,676363.8,542863,18.0205,10.57,52.9943287222594,37.38793845976126,11
IRB,206.85,207.3,2.08,2.02,2619399.3,1059385,43.791999999999994,39.73,66.01674095910252,56.52867104913679,9
TATAGLOBAL,210.25,209.6,2.08,2.02,3604231.2,2658347,29.594000000000012,36.97,123.8669959252091,129.29671379736092,9
BANKINDIA,136,137.25,2.0500000000000003,2,2540368.15,3376696,15.132500000000002,7.13,156.06914262661928,212.16004162099995,14
ORIENTBANK,114.95,115.1,2.04,1.9800000000000002,1995935.95,1728173,13.981499999999997,7.96,161.1581488593494,155.69796683633515,14
RECLTD,155.05,152.45,1.92,1.91,1164772.38,3,81.06610000000002,33.33,31.964964374340667,0.6667000000000001,11
UNIONBANK,127.65,127.35,1.97,1.91,2894683.75,1732783,23.356999999999996,12.25,141.60935137009037,163.95482882251454,13
ASHOKLEY,125.35,127.45,1.87,1.8599999999999999,9699021.7,6794943,34.035,25.74,165.01792987093546,153.13883677693477,14
HINDZINC,320.25,319.85,1.8800000000000001,1.82,1442017.2,945463,36.470000000000006,34.36,47.979884839502034,60.452163763880776,11
CGPOWER,78.6,77.9,1.79,1.7500000000000002,2367433.65,5056689,37.711999999999996,30.01,192.59303249598392,409.34265916030535,8
NMDC,120.45,123,1.69,1.72,2268483.55,2670529,37.136,35.54,118.65388366180892,124.41623253830586,11
OIL,349.7,347.95,1.68,1.63,867058.35,336630,43.473,38.32,37.56401141236161,29.186587573798143,14
APOLLOTYRE,242.2,242.35,1.67,1.6199999999999999,3183357.85,2832308,33.6315,51.89,66.74175159418331,33.34777364234844,14
DCBBANK,191.45,190.25,1.6,1.5599999999999998,1457695.7,3414254,33.306,29.57,82.999643152669,72.20764795507777,14
CANBK,308.5,307.9,1.55,1.5,1857955.95,1300300,18.427,10.1,84.69706230177292,87.58295497115456,14
BANKBARODA,139.55,138.2,1.46,1.44,9090230.45,5854218,30.850500000000004,24.07,147.55357995098058,170.05002782708493,14
BHEL,84.25,84.05,1.47,1.43,4345376.9,2828456,37.664500000000004,40.75,117.01080672157845,118.29322933578032,11
ENGINERSIN,152.05,151.35,1.31,1.28,1511412.85,936440,43.239999999999995,37.21,79.39638442017585,78.43012885154062,11
